0,0,2,1970-01-01T00:00:00
15,2,2,2024-05-23T09:59:34.694080
15,2,2,2024-05-23T09:59:39.666809
15,2,2,2024-05-23T10:09:37.889164
15,2,1,2024-05-23T10:09:41.481111
14,2,1,2024-05-23T10:15:17.981054
14,2,1,2024-05-23T10:16:09.261407
14,2,2,2024-05-23T10:32:12.606569
14,2,1,2024-05-23T10:48:55.826791
14,2,2,2024-05-23T10:48:57.896073
14,2,1,2024-05-23T11:01:13.282404
15,2,2,2024-05-23T11:41:00.171510
15,2,2,2024-05-23T11:41:38.962111
15,2,2,2024-05-23T11:41:39.949647
15,2,1,2024-05-23T13:40:42.103911
15,2,1,2024-05-23T13:41:24.540683
