0,0,2,1970-01-01T00:00:00
18,2,2,2024-05-16T09:55:11.216800
18,2,1,2024-05-16T09:58:47.677345
18,2,1,2024-05-16T10:12:47.272821
18,2,2,2024-05-16T10:29:24.746764
18,2,1,2024-05-16T10:30:47.507757
18,2,1,2024-05-16T11:06:42.941288
18,2,2,2024-05-16T11:06:50.111244
18,2,1,2024-05-16T11:06:56.895044
18,2,2,2024-05-16T11:07:01.271058
18,2,1,2024-05-16T11:07:04.591385
18,2,1,2024-05-16T11:07:07.351050
18,2,2,2024-05-16T11:07:10.672880
18,2,-1,2024-05-16T11:07:27.575464
18,2,1,2024-05-16T11:07:43.761073
19,2,1,2024-05-16T11:33:37.567972
19,2,2,2024-05-16T11:34:38.522737
19,2,2,2024-05-16T11:35:51.929822
19,2,2,2024-05-16T11:36:58.956554
19,2,1,2024-05-16T11:37:14.319266
19,2,1,2024-05-16T11:37:50.398300
19,2,1,2024-05-16T11:38:29.938393
19,2,2,2024-05-16T11:38:42.338899
19,2,2,2024-05-16T11:39:04.109488
19,2,1,2024-05-16T11:39:51.622917
19,2,1,2024-05-16T11:41:58.543057
19,2,1,2024-05-16T11:42:05.074905
19,2,2,2024-05-16T11:42:16.224766
19,2,2,2024-05-16T11:47:40.270205
19,2,1,2024-05-16T11:50:57.598676
17,3,1,2024-05-19T13:29:39.787523
17,3,1,2024-05-19T13:30:33.647042
17,3,2,2024-05-19T13:30:37.520914
17,3,1,2024-05-19T13:30:42.096587
17,3,1,2024-05-19T13:31:05.713403
17,3,2,2024-05-19T13:32:58.996547
17,3,1,2024-05-19T13:33:03.504570
17,3,-1,2024-05-19T13:33:08.167903
17,3,2,2024-05-19T13:34:01.521508
17,3,1,2024-05-19T14:29:00.753838
17,3,1,2024-05-19T14:29:37.011953
17,3,1,2024-05-19T14:31:44.025761
17,3,2,2024-05-19T14:31:49.335958
17,3,1,2024-05-19T14:31:56.624809
17,3,2,2024-05-19T14:51:26.216664
17,2,1,2024-05-20T16:53:31.606397
17,2,2,2024-05-20T16:53:36.278031
17,2,2,2024-05-20T16:56:31.955798
17,2,1,2024-05-20T16:56:39.111756
17,2,2,2024-05-20T16:56:43.886276
17,2,2,2024-05-20T17:02:48.698179
17,2,2,2024-05-20T17:06:38.266872
